"gene","bulk_logFC","bulk_adjP","module","direction","kME","validation_logFC","direction_concordant","pb_dominant_celltype","pb_log2FC","pb_p","pb_class","composition_adj_class","validation_logFC_full","cross_cohort_concordant","ev_bulk_sig","ev_cross_conc","ev_hub","ev_pb_intrinsic","ev_adj_retain","evidence_layer_count"
"DRAM1",1.33865914777487,8.21297806980155e-10,"turquoise","up",0.813734397784382,1.38692703703704,TRUE,"Myeloid",1.49873199306934e-06,0.256939355773546,"composition-consistent","retained",1.38692703703704,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"PTGIS",-1.9471685228828,1.84725688127258e-09,"yellow","down",0.899357561225564,-2.34754467592593,TRUE,"Fibroblast",-1.33310195691228,0.0326776350565751,"both","attenuated",-2.34754467592593,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"PDGFRA",-2.27180911341943,2.63365825023615e-09,"yellow","down",0.903973522308086,-4.47884922222222,TRUE,"Fibroblast",-0.185643749361663,0.489801261646188,"composition-consistent","retained",-4.47884922222222,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"CDH2",2.10970376588512,3.01665164343656e-09,"turquoise","up",0.806667888520721,3.7776224537037,TRUE,"Schwann/tumour",1.58885687011829,0.00053404245290574,"both","attenuated",3.7776224537037,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"UCHL1",2.03166684472244,3.76877292635154e-09,"turquoise","up",0.80832235068812,1.48669618518519,TRUE,"Schwann/tumour",3.08594468537962e-06,0.0356954593791498,"both","attenuated",1.48669618518519,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"FMNL3",1.41354738222205,6.50900622438047e-09,"turquoise","up",0.903350443224343,0.923123388888889,TRUE,"Myeloid",1.26714614328406,0.000496895691054625,"both","attenuated",0.92312338888889,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"NCK1",1.2940195419522,8.48977499174403e-09,"turquoise","up",0.835625556625265,0.422916787037037,TRUE,"Myeloid",1.31075983053429,1.50756237727704e-07,"both","attenuated",0.422916787037037,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"TNS3",1.61054483579723,1.0024007263598e-08,"turquoise","up",0.888723413300303,0.985212740740741,TRUE,"Schwann/tumour",3.45292953378853e-06,0.0191289044410017,"both","attenuated",0.98521274074074,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ALCAM",1.60977399391288,2.40704549008579e-08,"turquoise","up",0.83314828670649,2.97924963888889,TRUE,"Schwann/tumour",1.06589903845462,0.00161753682194214,"both","attenuated",2.97924963888889,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"FER",1.51023460187818,2.53375887993624e-08,"turquoise","up",0.947079859181731,0.539126574074073,TRUE,"Schwann/tumour",3.52462024642422e-06,0.0450246386001812,"both","attenuated",0.539126574074073,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ZNF334",1.00635648305937,2.53375887993624e-08,"turquoise","up",0.864830376267435,0.938937564814816,TRUE,"Schwann/tumour",3.16130329064922e-06,0.0425239337979003,"both","attenuated",0.938937564814816,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"PREP",1.20447847759137,3.00350395201978e-08,"turquoise","up",0.800230660942407,1.30750802777778,TRUE,"T cell",4.09644531725632e-06,0.159901098173064,"composition-consistent","retained",1.30750802777778,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"RASGRF2",-1.24940015540169,4.22981786802035e-08,"yellow","down",0.881498083724587,-3.23351415740741,TRUE,"Endothelial",1.27380778651085,2.2382727494965e-10,"composition-consistent","retained",-3.23351415740741,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"APH1B",1.29160759741558,6.25141687281795e-08,"turquoise","up",0.857521148789783,0.593105212962965,TRUE,"Myeloid",1.73017114342763e-05,0.0423310392134953,"both","attenuated",0.593105212962965,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"CCDC80",-2.76782815637625,7.02791372441698e-08,"yellow","down",0.85462609348193,-6.04037807407408,TRUE,"Fibroblast",-2.74412233527959,0.000124916256638341,"both","attenuated",-6.04037807407408,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"KLF5",-1.0305800176384,7.09981044602574e-08,"yellow","down",0.823603673167048,-4.23481344444444,TRUE,"Fibroblast",-1.79648606383426,0.00833269050540788,"both","attenuated",-4.23481344444444,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"MEOX2",-2.00651304651117,7.64316947471845e-08,"yellow","down",0.85397506352583,-5.84395157407407,TRUE,"Endothelial",-7.56637912043788,2.58657950875225e-27,"both","attenuated",-5.84395157407407,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"TIGAR",1.38000323287124,8.29687782810656e-08,"turquoise","up",0.806435176359142,1.53548987037037,TRUE,"Myeloid",1.17991104678894,7.12015222293549e-06,"both","attenuated",1.53548987037037,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"LRRC32",-1.35338241035852,8.34762322303556e-08,"yellow","down",0.858798627632673,-1.49864916666667,TRUE,"Endothelial",-1.55697752891645,1.97624912806396e-07,"both","attenuated",-1.49864916666667,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"RAB11FIP2",1.23620662814881,9.74234302529622e-08,"turquoise","up",0.941990628615235,0.703864759259259,TRUE,"Schwann/tumour",6.0581856311449e-06,0.0341085610940379,"both","attenuated",0.703864759259259,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"DPP4",-1.60830489349499,1.03844109740353e-07,"yellow","down",0.828488989167339,-2.14020757407407,TRUE,"T cell",-7.1093472239869e-06,0.00552533975471084,"cell-intrinsic (candidate)","attenuated",-2.14020757407407,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ENO2",1.02785871532922,1.22843593726368e-07,"turquoise","up",0.837476622154568,0.668961259259261,TRUE,"Schwann/tumour",2.5787139208163e-06,0.0421503006004471,"both","attenuated",0.668961259259261,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"CYP4X1",-1.0821342429576,1.32855994723857e-07,"yellow","down",0.82232959431532,-4.68835244444445,TRUE,"Fibroblast",-0.575068734995159,0.111188094911853,"composition-consistent","retained",-4.68835244444445,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"GHR",-1.23603556627756,1.33366685533835e-07,"yellow","down",0.858451971047151,-1.50681246296296,TRUE,"Fibroblast",-0.812182968014522,0.0743776910490456,"composition-consistent","retained",-1.50681246296296,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"STEAP4",-2.09997566582961,1.44764494554271e-07,"yellow","down",0.894136786310818,-4.33237487037037,TRUE,"Pericyte",0.35890971114717,0.0847614987955672,"composition-consistent","retained",-4.33237487037037,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"CDH6",1.39413428462992,1.46420750136543e-07,"turquoise","up",0.837428865083851,1.3190100462963,TRUE,"Pericyte",1.18881371998305,9.17154142881224e-05,"cell-intrinsic (candidate)","attenuated",1.3190100462963,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"EBF3",-1.49727661190054,1.92132381829519e-07,"yellow","down",0.899593350740692,-3.03556712962963,TRUE,"Fibroblast",-1.73479939999858,0.0163577154207171,"both","attenuated",-3.03556712962963,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ERAP1",1.20773198487279,1.92727880981639e-07,"turquoise","up",0.908891074034542,0.59886712962963,TRUE,"T cell",3.40497193337013e-06,0.0441557236841652,"both","attenuated",0.59886712962963,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"PDE1A",-1.89336858096376,1.99859484755279e-07,"yellow","down",0.891135887099603,-2.91252696296296,TRUE,"Pericyte",-0.0392588567205156,0.850433640960096,"composition-consistent","retained",-2.91252696296296,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"USP9X",1.20345149508636,2.77505737692343e-07,"turquoise","up",0.951050986750101,1.53429361111111,TRUE,"Schwann/tumour",4.41981070691921e-06,0.0493569651055386,"both","attenuated",1.53429361111111,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ZNF846",1.24576974445798,2.88019486426878e-07,"turquoise","up",0.800177094958155,0.480908185185184,TRUE,"Myeloid",5.51764791684567e-06,0.00571909896355004,"both","attenuated",0.480908185185184,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"INMT",-1.0382181031542,2.90515652994501e-07,"yellow","down",0.873238952598465,-1.41183452777778,TRUE,"Fibroblast",-0.376733465245866,0.241037959396168,"composition-consistent","retained",-1.41183452777778,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"ACKR1",-1.17395083344101,3.13276102983376e-07,"yellow","down",0.859443824852518,-1.57742063888889,TRUE,"Endothelial",-2.35395176774582,0.000315532079725613,"both","attenuated",-1.57742063888889,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"AKR1C2",-1.94915009574402,3.72718799610655e-07,"yellow","down",0.815949168224725,-3.81128667592592,TRUE,"Fibroblast",-1.33373415111416,0.032224867471238,"both","attenuated",-3.81128667592592,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"INTS10",1.35256790537163,4.00462085997908e-07,"turquoise","up",0.884196907276951,0.331910592592591,TRUE,"Myeloid",5.34033273751155e-06,0.00638658063757302,"both","attenuated",0.331910592592591,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"ATP6V1C1",1.28636683104241,5.07952721512708e-07,"turquoise","up",0.911118902557175,0.528616648148152,TRUE,"Myeloid",9.20157938817315e-06,0.0136770304717407,"both","attenuated",0.528616648148152,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
"MICA",1.31751014393755,6.40191335857951e-07,"turquoise","up",0.827323220958866,0.693857055555553,TRUE,"Endothelial",-1.64283645135909e-06,0.513695327892952,"ambiguous/undetermined","retained",0.693857055555553,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"THBS4",-1.85093223032382,9.12731561317242e-07,"yellow","down",0.838944552162893,-5.28345662962963,TRUE,"Fibroblast",-0.293619728054159,0.281609327507321,"composition-consistent","retained",-5.28345662962963,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,4
"PDGFA",1.14722131983809,1.23360353627979e-06,"turquoise","up",0.845325222505218,0.767266388888888,TRUE,"Pericyte",0.74705063619249,0.0149416286846014,"cell-intrinsic (candidate)","attenuated",0.767266388888888,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4
