"gene","original_logFC","original_adj.P.Val","adjusted_logFC","AveExpr","t","adjusted_P.Value","adjusted_adj.P.Val","B","original_sig","adjusted_sig","classification"
"FLVCR1",0.206980232206631,0.181310210123531,-0.0866598498216095,7.15823434755,-0.213018503542346,0.832488275755174,0.915782253272883,-6.12495192035741,FALSE,FALSE,"neither"
"FLVCR2",0.402816797096378,0.0282004105261133,0.594333814036237,9.099754396225,1.22695329767808,0.227632543994262,0.526174422658087,-5.42408556111471,FALSE,FALSE,"neither"
"FLYWCH1",-0.196663914626058,0.011876783670762,-0.270637328577448,8.59083360015,-1.34727245028902,0.186115947248167,0.483800950182454,-5.27900376838775,FALSE,FALSE,"neither"
"FLYWCH2",0.136551549362375,0.0858975223205,0.360323880668073,9.382989743775,1.78354304996439,0.0827328472972679,0.34002792902521,-4.65336284921826,FALSE,FALSE,"neither"
"FMC1-LUC7L2",0.28057103679877,0.00948641897295921,0.0324673180510123,9.57916124415,0.123043810158432,0.902740808383332,0.952320847492942,-6.13977224814855,FALSE,FALSE,"neither"
"FMN1",0.236445436946801,0.268674897785829,0.634101774958677,6.994920124925,1.28809850206778,0.205752842537429,0.50492639222328,-5.35189684024131,FALSE,FALSE,"neither"
"FMN2",0.566256249531997,0.0148762157251614,-0.725417214366414,7.93158658625,-1.4699907998208,0.150063274714337,0.442905199156878,-5.11848515369505,FALSE,FALSE,"neither"
"FMNL1",0.403391062148037,0.0339127474646164,0.858922236119702,8.933308942075,2.44683922677575,0.019310275458677,0.165573813722172,-3.43571850748149,FALSE,FALSE,"neither"
"FMNL2",0.986115869383193,1.34294814048351e-05,-0.0318883955883451,10.065801508,-0.0686212035327001,0.945662672365156,0.973644847697173,-6.14488730964355,FALSE,FALSE,"neither"
"FMNL3",1.41354738222205,6.50900622438047e-09,1.27904545170011,10.008625448325,2.61480042217847,0.0128640202500633,0.131820072674805,-3.08330455108236,TRUE,FALSE,"attenuated"
"FMO1",-1.00601553662606,0.002988675326378,-0.646752006730387,5.45923155695,-0.952443451917645,0.347086751539543,0.622092541441671,-5.70783672748025,TRUE,FALSE,"attenuated"
"FMO2",-0.450550673192749,0.184884901384947,-1.10460444565233,6.718730190125,-1.66674577850725,0.104055674168483,0.376032684461205,-4.83561980680108,FALSE,FALSE,"neither"
"FMO3",-0.421421985219735,0.0363723549195323,0.299651873336622,6.409929115325,0.758953422831018,0.452714704305498,0.693547126351459,-5.8669238888168,FALSE,FALSE,"neither"
"FMO4",0.358302690261374,0.000605108649313553,0.00104269833047983,7.1542427455,0.00436389229118801,0.996541659362475,0.998672128604372,-6.14718773474568,FALSE,FALSE,"neither"
"FMO5",0.00435006609560595,0.9708669080237,-0.302146952895144,6.5869268189,-1.20024584904215,0.237700446991153,0.534640880771379,-5.45461436697975,FALSE,FALSE,"neither"
"FMOD",-0.985061178238243,0.00756343092440432,-1.95660327536746,7.7420774176,-2.40691369037801,0.0212235148233766,0.172820049276067,-3.51708016718013,FALSE,FALSE,"neither"
