gene,logFC,P.Value,adj.P.Val
LPAR6,1.2142402555983,2.21194286008148e-07,2.67470662103922e-06
KRT23,-1.27246687814186,2.21550062170089e-07,2.67527489706153e-06
FLRT3,2.03415336488358,2.24742550865709e-07,2.69877957131047e-06
TCEAL2,-1.58358994196068,2.28222145724199e-07,2.7329877962052e-06
TMOD1,-1.31451506776484,2.30743271495265e-07,2.7555612739283e-06
HYCC1,1.19559830448111,2.32363808568898e-07,2.76918849716772e-06
DCLK1,-1.64511359346646,2.34620119310589e-07,2.79223724410294e-06
FAM149A,1.47056155531303,2.35085660913544e-07,2.79585746898414e-06
ARHGAP12,1.1400513844071,2.39040537294264e-07,2.83535477466294e-06
PLCB4,-1.20157046489669,2.40973957228985e-07,2.85413310380304e-06
NTRK2,1.40443649004318,2.41724745916461e-07,2.85990864528199e-06
TMEM50B,1.04646831742483,2.41888430859861e-07,2.85990864528199e-06
PRDM1,1.1871997881357,2.46694749421682e-07,2.91291972084385e-06
CFAP20,1.24962730782344,2.47703367830379e-07,2.91986663793524e-06
CD74,1.40604326470316,2.48832649137046e-07,2.92720444280158e-06
KYAT3,1.03651657175251,2.499905830381e-07,2.93498158608712e-06
S100P,-1.42386971430994,2.52446549106774e-07,2.95766991407855e-06
ERCC5,1.01740427048419,2.57488636444862e-07,3.01266920480524e-06
RB1,1.21154097783192,2.58312309015542e-07,3.02026699772018e-06
POLR3GL,1.03489617728836,2.61361735865421e-07,3.04301940382506e-06
NIPSNAP3A,1.14165113980262,2.66521522825593e-07,3.08708886866436e-06
ZNF521,-1.29554074546338,2.67007284250329e-07,3.09064944655291e-06
TANC2,1.15218176796608,2.68623526462635e-07,3.10728202039021e-06
MAP4K5,1.14777311810409,2.7065286884884e-07,3.12203427340614e-06
INPP5D,1.37328175502622,2.70799717966841e-07,3.12203427340614e-06
LAMA4,1.09883749064225,2.72740251369628e-07,3.13398081945153e-06
BTN3A3,1.32029341373709,2.74490813442976e-07,3.1520058418422e-06
RERG,-1.1475598640825,2.76108598281196e-07,3.16848330530898e-06
