ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006959,humoral immune response,20/385,309/18805,0.0647249190938511,3.16143403522044,5.53851058769687,6.39964588703984e-06,0.000427779538729941,0.000315773097129565,CXCL1/FCN1/CCL21/C6/SLPI/MASP1/CTSG/S100A12/CCL19/CXCL2/CCL7/CXCL8/S100A9/DEFA1B/CFD/PPBP/IL6/TREM1/DEFB4A/C7,20
GO:0072001,renal system development,21/385,336/18805,0.0625,3.05275974025974,5.48904438622953,6.46518194554067e-06,0.000427779538729941,0.000315773097129565,ASS1/ANGPT1/PDGFRA/EYA1/FGF10/TBX18/PRICKLE1/FGFR2/CXCR2/HAS2/OSR1/EDNRA/ADAMTS1/SIX1/ADIPOQ/AQP1/RBP4/GREM1/AGT/BICC1/MME,21
GO:0051146,striated muscle cell differentiation,20/385,311/18805,0.0643086816720257,3.14110326972063,5.50443890362271,7.04353848554276e-06,0.000457236767763346,0.000337517476190681,PI16/SHOX2/PDGFRA/RIPOR2/TBX18/PRICKLE1/KRT19/TNNT2/KLF5/NOS1/TMOD1/SIX1/RGS4/ACTN2/DNER/ADAM12/GREM1/MYH11/CAV2/IGF2,20
GO:1902624,positive regulation of neutrophil migration,7/385,36/18805,0.194444444444444,9.49747474747475,7.3778740834123,7.14072534038474e-06,0.000457236767763346,0.000337517476190681,CCL21/RIPOR2/CXCR2/THBS4/CCL19/IL1R1/CXCL8,7
GO:0043114,regulation of vascular permeability,8/385,50/18805,0.16,7.81506493506494,6.97601071877036,7.2675946423374e-06,0.000457973821112372,0.000338061545267624,BDKRB2/HRH1/TJP2/PDE3A/ANGPT1/TACR1/NPR1/CXCR2,8
GO:0007517,muscle organ development,22/385,369/18805,0.0596205962059621,2.9121176926055,5.36296702223844,8.25995321490416e-06,0.000512375222862023,0.000378218910366664,ASS1/ZFPM2/SHOX2/CAV1/RIPOR2/ABCC9/TNNT2/FGFR2/KLF5/MEOX2/CNTFR/EDNRA/FHL1/SIX1/TAGLN/MSC/TNNC1/DNER/DSP/COL6A3/CAV2/IGF2,22
GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,15/385,190/18805,0.0789473684210526,3.85611756664388,5.72047423206918,9.05379199869662e-06,0.000552977757458855,0.000408190395536379,EGFR/ANGPT1/CCL21/PDGFRA/AKR1C2/SELP/CCL19/EGF/NTRK3/AGT/AKR1C3/MYOC/CHI3L1/IGF2/DCN,15
GO:0016049,cell growth,26/385,492/18805,0.0528455284552846,2.58119522753669,5.13805763574078,1.09699060928751e-05,0.000644698884554081,0.000475895981598452,PI16/EGFR/INHBA/PRICKLE1/DCSTAMP/NPR1/SYT1/PTCH2/TMEM108/EDNRA/SFRP2/DCLK1/RERG/SFN/FHL1/CRABP2/RGS4/TNR/S100A9/FAM107A/LGI1/GREM1/SLIT3/AGT/TNC/S100A8,26
GO:0007159,leukocyte cell-cell adhesion,24/385,433/18805,0.0554272517321016,2.70729732161603,5.19619645040118,1.09803035837018e-05,0.000644698884554081,0.000475895981598452,PLA2G2A/PAWR/ASS1/CCL21/CAV1/RIPOR2/SELE/CD177/LRRC32/DPP4/HAS2/CTSG/SELP/CCL19/LRG1/KITLG/S100A9/VCAM1/IL6/NT5E/PNP/ICAM1/IGF2/S100A8,24
GO:0007204,positive regulation of cytosolic calcium ion concentration,14/385,170/18805,0.0823529411764706,4.02245989304813,5.72309535403536,1.11220152295738e-05,0.000644698884554081,0.000475895981598452,BDKRB2/CAV1/ADCYAP1R1/TACR1/CXCR1/CXCR2/NOS1/PROK2/EDNRA/ADCY8/PTGER2/FPR2/SAA1/CD36,14
GO:0060688,regulation of morphogenesis of a branching structure,8/385,53/18805,0.150943396226415,7.37270276892918,6.71658435647166,1.13727952455761e-05,0.000644698884554081,0.000475895981598452,AR/SHOX2/FGF10/FGFR2/SIX1/SNAI2/GREM1/AGT,8
GO:0090023,positive regulation of neutrophil chemotaxis,6/385,26/18805,0.230769230769231,11.2717282717283,7.57712824990932,1.15265002728816e-05,0.000644698884554081,0.000475895981598452,CCL21/RIPOR2/CXCR2/THBS4/CCL19/CXCL8,6
GO:0050679,positive regulation of epithelial cell proliferation,16/385,218/18805,0.073394495412844,3.58489217204814,5.54979193880066,1.15298792955516e-05,0.000644698884554081,0.000475895981598452,AR/EGFR/EYA1/FGF10/TACR1/FGFR2/HAS2/OSR1/THBS4/APLNR/LRG1/EGF/ST8SIA1/CAV2/CLDN1/IGF2,16
GO:0010232,vascular transport,10/385,88/18805,0.113636363636364,5.55047225501771,6.18572145555619,1.25602789891233e-05,0.000683072706668761,0.000504222302894294,SLC16A7/SLC22A3/SLC24A3/ABCC9/SLCO1C1/SLC1A2/SLC4A4/SLC7A2/CD36/SLC2A3,10
