gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
AR,-1.08179048347648,6.7154874543,-13.1545102572311,2.20344182681833e-16,2.12117999861711e-13,27.1594305734669
ALDH3B1,1.44271529113107,9.641604974425,13.1092223858923,2.49011377729154e-16,2.27098376488988e-13,27.0403266891603
PRIMA1,2.24036770984503,10.09568222375,13.0898262845996,2.64742264377666e-16,2.2937269785681e-13,26.980833658846
LGI4,2.63774359106014,11.402608841475,13.0526473982535,2.9121062568209e-16,2.40290367705679e-13,26.8879153656659
GRB14,2.93027134282884,8.334771185325,12.9519403098055,3.77287492193698e-16,2.97165348396927e-13,26.6353235792311
KCTD1,1.76417942196299,7.670244929125,12.8115653990802,5.42421931392814e-16,3.93379566117465e-13,26.281029910278
PDGFD,2.52102636918273,9.097529804475,12.8098463045112,5.44847044484023e-16,3.93379566117465e-13,26.2766750821406
LRMDA,1.60581709572784,9.132328033675,12.7362652717067,6.54436696610756e-16,4.53603163154847e-13,26.0975520368995
PROS1,2.30438355822668,8.329797636,12.713948741177,6.9919559179631e-16,4.65986969794094e-13,26.0331317769554
PTPRJ,1.54188994508559,10.2728197745,12.6640633679829,7.8887357768959e-16,5.05911902891027e-13,25.9150411513742
SCN7A,3.64605147840941,10.569370376625,12.6540723872576,8.17493841236655e-16,5.05911902891027e-13,25.880455031915
POPDC1,1.94234982372552,8.722505081625,12.5588364563785,1.04919974243172e-15,6.2615431010234e-13,25.6366412283696
RRM2B,1.5930803883431,9.06181840575,12.5444904688201,1.08406217122981e-15,6.2615431010234e-13,25.6045731853933
NIM1K,2.09380132235621,8.651095234925,12.5097255735355,1.19381110745818e-15,6.67301899033398e-13,25.5104433476184
CHL1,3.09456496908404,11.373700308675,12.4943394840025,1.24317187851565e-15,6.73177572216222e-13,25.470840681478
PLA2G2A,-2.75044678238088,6.876790550825,-12.4478969416284,1.40514426899973e-15,7.37828481612949e-13,25.3511104316941
ARHGAP15,2.89591876648497,11.0379053616,12.393196125903,1.62374988941182e-15,8.01675436270358e-13,25.2097224857704
IFIT3,2.35214454365844,9.391506651425,12.3754761543484,1.70175547498271e-15,8.01675436270358e-13,25.1638354038777
ALDH1A1,2.87219547688281,11.74354931275,12.3734142268955,1.71107675488882e-15,8.01675436270358e-13,25.1584931853131
PAWR,-1.12787998503238,5.8801218282,-12.3673358763897,1.71179542601588e-15,8.01675436270358e-13,25.1576721605854
FSTL3,1.43353200778412,9.9332309033,12.3517951445368,1.79548486181775e-15,8.18741096988894e-13,25.1111586035012
PDZD2,2.56001570504703,10.6133632286,12.3353911387673,1.89259743416853e-15,8.40895598442881e-13,25.0598781558072
SLC16A7,-1.5278691966276,6.53838409685,-12.284139117693,2.16873701982634e-15,9.19007482864573e-13,24.9266479948279
HOXA2,-0.922906069909021,5.8294894798,-12.2756923650662,2.18215322752757e-15,9.19007482864573e-13,24.9201751652429
ARHGEF26,2.69407597807171,9.3070767587,12.274091099377,2.22751121192937e-15,9.19007482864573e-13,24.9004869471242
IFIT2,2.35624461088744,9.9683650989,12.1153588005629,3.40415689875014e-15,1.3717960637568e-12,24.4854186837734
MIR1915HG,2.73460499671627,9.580706484425,12.083440290827,3.70863780776185e-15,1.46052899847494e-12,24.4015472342452
ASS1,-1.84372547330069,8.281496923275,-12.0713193046684,3.83140086616754e-15,1.47534476019892e-12,24.3696613822968
KCNMB4,2.30494496324904,10.615708491525,11.8181099559259,7.59744999380291e-15,2.86192638027428e-12,23.6990379252812
JAKMIP2,2.31392950279414,9.13163645365,11.7841869496183,8.33238308087933e-15,3.07199008564845e-12,23.60853580522
VLDLR,2.22164568815652,9.4749027198,11.7112057272163,1.01685621361465e-14,3.66272897295761e-12,23.4133037347578
NRXN1,2.55282899089129,10.6060443661,11.7044738843712,1.03574399627726e-14,3.66272897295761e-12,23.3952590567076
LOC653653,2.51315545809792,9.894846749775,11.6815592244104,1.10275360294094e-14,3.82170288635214e-12,23.3337903871077
ST6GALNAC2,2.5353096514973,11.11366734675,11.6386642417892,1.24028906339375e-14,4.21406448833077e-12,23.2185331348451
FOXP2,-1.24795212342945,4.8724114354,-11.5934630708869,1.39802114587195e-14,4.65795535210926e-12,23.1009766153474
