"gene","bulk_logFC","dominant_celltype","pb_log2FC_in_dom","pb_p_in_dom","dom_pct_shift_VS_minus_Nerve","class"
"MGAM",-1.70008637011873,"巨噬/髓系",-2.77710536266619e-06,0.0186749635446068,45.88,"cell-intrinsic (candidate)"
"MYO1E",1.25731321492136,"周细胞",0.538837232078707,0.00390989071515697,-23.07,"cell-intrinsic (candidate)"
"FBXO28",1.04075447000694,"内皮",1.03304037399463e-06,0.732090981788246,-16.73,"ambiguous/undetermined"
"PTPN12",1.17928388848574,"内皮",2.80079678138928e-06,0.485270936868761,-16.73,"ambiguous/undetermined"
"HPS3",1.33017501750656,"巨噬/髓系",-1.52283648819558e-05,0.0730875458853548,45.88,"composition-consistent"
"SNX13",1.17352610457055,"Schwann/肿瘤细胞",-0.000116614389110314,0.607256058380289,21.18,"composition-consistent"
"IL1RL1",-1.36783149153508,"Schwann/肿瘤细胞",-3.7363301156128e-07,0.643228891829248,21.18,"ambiguous/undetermined"
"PLEKHB1",1.7783594434919,"Schwann/肿瘤细胞",-3.42490670649104e-08,0.565080114199432,21.18,"composition-consistent"
"ITGB1BP1",1.03529688605629,"Schwann/肿瘤细胞",5.76816292991588e-06,0.0138066557060299,21.18,"both"
"RPS6KA5",1.34330907422205,"Schwann/肿瘤细胞",-2.49858212791498e-06,0.444492898443882,21.18,"composition-consistent"
"CPT1A",1.00007269215575,"内皮",-0.594228874102674,0.000303633766832959,-16.73,"ambiguous/undetermined"
"ADORA3",1.78988365079877,"巨噬/髓系",2.39166215840088,1.22352457847684e-06,45.88,"both"
"CYP4V2",1.06598498539553,"成纤维",-0.213616387528277,0.491432484809595,-42.35,"ambiguous/undetermined"
"DEPDC7",1.08838690495297,"Schwann/肿瘤细胞",-1.51737942622153e-06,0.381315148906461,21.18,"composition-consistent"
"ENPP6",-1.65943239814032,"成纤维",-0.152713785581154,0.495151090125268,-42.35,"composition-consistent"
"ABHD6",1.01433885780725,"内皮",-1.87255734179686e-06,0.218973427270052,-16.73,"ambiguous/undetermined"
"EIF5B",1.02345585546492,"周细胞",-0.674464793162527,0.00226068197744639,-23.07,"ambiguous/undetermined"
"UAP1",-1.10780002832768,"成纤维",-1.68641222080325,5.81968055467967e-10,-42.35,"both"
"HPGDS",1.66456242823207,"巨噬/髓系",8.26142567654831e-07,0.750091738594725,45.88,"composition-consistent"
"IL1R2",-1.90853171324132,"巨噬/髓系",-3.80913745345488,9.23116825277673e-07,45.88,"cell-intrinsic (candidate)"
"DEGS1",1.18281036511951,"巨噬/髓系",0.886124196388136,2.76052584871073e-05,45.88,"both"
"KCTD3",1.28057931532691,"Schwann/肿瘤细胞",1.77529675652259e-06,0.34795148508875,21.18,"composition-consistent"
"ANKRD28",1.12548215930995,"内皮",-2.41694411651139e-06,0.329823896776085,-16.73,"ambiguous/undetermined"
"PDGFA",1.14722131983809,"周细胞",0.74705063619249,0.0149416286846014,-23.07,"cell-intrinsic (candidate)"
"SHROOM3",1.23775461920895,"Schwann/肿瘤细胞",2.30003167131081e-07,0.900635111403443,21.18,"composition-consistent"
"ERMARD",1.01691309761218,"Schwann/肿瘤细胞",-2.59327371945273e-06,0.224676129686535,21.18,"composition-consistent"
"SESN1",1.47585897734464,"巨噬/髓系",1.76826559437112e-07,0.906743773460758,45.88,"composition-consistent"
"HLA-DRA",1.77539852389669,"巨噬/髓系",7.63105257888178e-06,0.00386609989319856,45.88,"both"
"LAIR1",1.43361900026831,"巨噬/髓系",1.16893159712733,4.72188329382691e-10,45.88,"both"
"RASA3",1.0579306420586,"T细胞",-3.78066039971457e-06,0.142630654955142,15.09,"composition-consistent"
"PPP1R9A",1.18517859048342,"Schwann/肿瘤细胞",-2.636481217419e-06,0.142798563829256,21.18,"composition-consistent"
"IFIT5",1.08251595232845,"Schwann/肿瘤细胞",3.97165642475973e-06,0.016738745115713,21.18,"both"
"SEMA5A",1.60820780479491,"Schwann/肿瘤细胞",-2.3018678358236e-08,0.965505897183511,21.18,"composition-consistent"
"SLC27A1",1.1435988730478,"Schwann/肿瘤细胞",3.4181239111652e-06,0.412686241122918,21.18,"composition-consistent"
"CXCR4",1.7761611653246,"T细胞",1.98850416532498e-06,0.102022702628061,15.09,"composition-consistent"
"TMTC1",-1.61755436402159,"内皮",-1.5323267209989,1.4037283519919e-06,-16.73,"both"
"FIGN",1.14778625890131,"Schwann/肿瘤细胞",-2.19560610865618e-07,0.513559170386171,21.18,"composition-consistent"
"APLNR",-1.83513958260061,"内皮",-4.97856479426702e-07,0.629244385298145,-16.73,"composition-consistent"
"MAP4K3",1.42136415534156,"Schwann/肿瘤细胞",5.17150912167222e-06,0.0570798919558087,21.18,"composition-consistent"
"LILRB4",1.64820488401465,"巨噬/髓系",2.01934320396065,9.55590893614027e-08,45.88,"both"
"NRK",-1.33737984985813,"成纤维",-0.160128182105552,0.583265561825613,-42.35,"composition-consistent"
"PHACTR4",1.20258792976407,"内皮",-2.77149552490912e-06,0.291770214034743,-16.73,"ambiguous/undetermined"
"CADPS",-1.24520381596762,"Schwann/肿瘤细胞",7.62234373107751e-07,0.725318185648675,21.18,"ambiguous/undetermined"
"DOK6",1.43739532863531,"Schwann/肿瘤细胞",7.61755354632368e-07,0.564423797479027,21.18,"composition-consistent"
"KLK6",-1.41128877838473,"Schwann/肿瘤细胞",-2.52301085091668e-06,0.00400007784900649,21.18,"cell-intrinsic (candidate)"
"DENND1B",1.04297314783192,"T细胞",0.552409464300305,0.00226053517741885,15.09,"both"
"ADGRE3",-1.0871315336091,"巨噬/髓系",-4.49383342538398e-06,0.00380687964332626,45.88,"cell-intrinsic (candidate)"
"QNG1",1.02780969133308,NA,NA,NA,NA,"ambiguous/undetermined"
"PIGK",1.37033366892136,"Schwann/肿瘤细胞",1.37752535186152e-05,0.0666187583467193,21.18,"composition-consistent"
"EDNRA",-1.61458846831919,"周细胞",0.126477216406404,0.564012924409482,-23.07,"composition-consistent"
"AATK",1.03160533152969,"Schwann/肿瘤细胞",3.92654907980828e-06,0.0962512873878199,21.18,"composition-consistent"
"POGLUT1",1.15604652934079,"内皮",-3.86913982572143e-06,0.312894380480251,-16.73,"ambiguous/undetermined"
"IFNAR1",1.31066830012182,"巨噬/髓系",4.37968766333898e-06,0.17279086189052,45.88,"composition-consistent"
"FAM13C",-1.15249260881573,"周细胞",0.49838174585839,0.0447746483779128,-23.07,"composition-consistent"
"MAN2B1",1.16567121282036,"巨噬/髓系",-2.76878822915276e-07,0.80846943683851,45.88,"composition-consistent"
"HSPB8",-1.91257311652968,"周细胞",-0.897352703837848,0.0249077215295159,-23.07,"both"
"PLXNB3",1.18105261503316,"Schwann/肿瘤细胞",2.28335841312983e-07,0.788132390979504,21.18,"composition-consistent"
"IFNGR1",1.16613702226677,"巨噬/髓系",1.03092878150517,0.00117978300287888,45.88,"both"
"CNP",1.1669679896916,"Schwann/肿瘤细胞",-0.000102040260261506,0.0701660646175705,21.18,"composition-consistent"
"LAMB1",1.42881397686276,"Schwann/肿瘤细胞",2.55324825473926e-06,0.439370883026795,21.18,"composition-consistent"
"SVEP1",-1.34692083451966,"成纤维",-1.11586154923727,0.0319584596314573,-42.35,"both"
"CLN5",1.13903337400848,"成纤维",-0.110205379538876,0.700186310436004,-42.35,"ambiguous/undetermined"
"SELP",-1.33888889006399,"内皮",-1.51021525942098e-06,0.331805807120869,-16.73,"composition-consistent"
"MERTK",1.81115372572552,"巨噬/髓系",3.42452519859731e-06,0.0840806188119075,45.88,"composition-consistent"
"FEZ1",1.30599564407787,"Schwann/肿瘤细胞",-4.65105539257344e-07,0.824818725730712,21.18,"composition-consistent"
"ARHGDIG",1.38497327814881,"Schwann/肿瘤细胞",2.37296191869526e-06,0.00981292150283213,21.18,"both"
"WDR47",1.31297143584734,"Schwann/肿瘤细胞",2.09978429406436e-06,0.315682448901903,21.18,"composition-consistent"
"ZNF25",1.23507355253432,"周细胞",-0.101232998037774,0.64293487434622,-23.07,"ambiguous/undetermined"
"GRIK3",1.91657639105629,"Schwann/肿瘤细胞",1.24332673739249e-06,0.336383534975856,21.18,"composition-consistent"
"AIF1",1.02007298087587,"巨噬/髓系",-9.76663034852945e-05,0.52757594127431,45.88,"composition-consistent"
"P2RY13",1.56573927747726,"巨噬/髓系",-7.12100740329694e-06,0.0954090037721562,45.88,"composition-consistent"
"SFRP2",-2.39893537465767,"成纤维",-3.8086126016815,0.00182531797621116,-42.35,"both"
"CORO2B",1.19267720345721,"Schwann/肿瘤细胞",2.59267959284493e-06,0.0401834827909814,21.18,"both"
"S100A12",-2.39212398430069,"巨噬/髓系",-4.04828699248981,2.88366174628584e-07,45.88,"cell-intrinsic (candidate)"
"C1QTNF3",-1.12128774381958,"成纤维",-0.0225666047971561,0.91589518478311,-42.35,"composition-consistent"
"GPR82",1.63678438917502,"巨噬/髓系",3.04702900050639e-06,0.0304343304314072,45.88,"both"
"CCL19",-1.35192048330069,"周细胞",-0.0392158356898483,0.580043809252135,-23.07,"composition-consistent"
"MOCS2",1.32088068229607,"Schwann/肿瘤细胞",1.78200021153613e-06,0.451182032402639,21.18,"composition-consistent"
"IGFBP2",1.51537535546724,"内皮",-3.20876498654664e-07,0.832554540812279,-16.73,"ambiguous/undetermined"
"RELN",2.0098802631118,"Schwann/肿瘤细胞",-1.46765960238441e-06,0.350510222839017,21.18,"composition-consistent"
"GPR137B",1.48394494445336,"Schwann/肿瘤细胞",-4.29948899295085e-06,0.0423158407640654,21.18,"composition-consistent"
"AP1B1",1.26357420289283,"巨噬/髓系",2.37765866026817e-06,0.329118631383059,45.88,"composition-consistent"
"CDKN2A",1.03872421183886,"Schwann/肿瘤细胞",6.99714567642468,1.91898692660373e-08,21.18,"both"
"BRCC3",1.18193049599923,"巨噬/髓系",1.91071329429787e-06,0.577523907794501,45.88,"composition-consistent"
"ACBD5",1.305939934367,"巨噬/髓系",0.395075426263236,0.00353629542468618,45.88,"both"
"CLIC5",-1.19425904141018,"内皮",-2.00523279471512e-06,0.178419720455408,-16.73,"composition-consistent"
"SECISBP2L",1.05581651601542,"Schwann/肿瘤细胞",-3.93227404554977e-06,0.0833984932572032,21.18,"composition-consistent"
"RARRES2",1.15404482549576,"Schwann/肿瘤细胞",1.0700704847379e-06,0.178590086149144,21.18,"composition-consistent"
"RARB",1.24559541190671,"Schwann/肿瘤细胞",-1.17148791851197e-07,0.154781778770903,21.18,"composition-consistent"
"DUSP3",1.00884056685583,"周细胞",-0.790575696631016,0.00368463638615425,-23.07,"ambiguous/undetermined"
"EXOSC9",1.05393027311719,"Schwann/肿瘤细胞",4.49701421726516e-06,0.0393445153055423,21.18,"both"
"CSNK1G3",1.21052558888281,"内皮",-1.91311463622253e-07,0.953686656119493,-16.73,"ambiguous/undetermined"
"PLPPR4",-1.33269310279645,"内皮",1.21035566161954e-06,0.222063670902622,-16.73,"composition-consistent"
"BIRC3",1.50221890556284,"T细胞",-5.572762559311e-06,0.0627662027993334,15.09,"composition-consistent"
"CSF2RA",1.35592922475328,"巨噬/髓系",0.924298491822504,0.000786189439850474,45.88,"both"
"ORC3",1.13824167498535,"Schwann/肿瘤细胞",-7.83565455893454e-06,0.044463235154851,21.18,"composition-consistent"
"PLOD3",1.17463331628682,"Schwann/肿瘤细胞",1.97413886726417e-06,0.576085894108356,21.18,"composition-consistent"
"RAB3GAP2",1.0154798105906,"内皮",-5.55802405663138e-06,0.109846393934432,-16.73,"ambiguous/undetermined"
"SUCLG2",1.24644320774788,"周细胞",-0.178415104051296,0.40986353810886,-23.07,"ambiguous/undetermined"
"DKK2",-1.1152882456276,"成纤维",-0.347691969979148,0.0580044711744983,-42.35,"composition-consistent"
"SLCO1C1",-1.18250063541712,"周细胞",4.14600203970635,1.77129571199958e-21,-23.07,"composition-consistent"
"LPAR6",1.2142402555983,"巨噬/髓系",2.35062139371736e-06,0.246401977380252,45.88,"composition-consistent"
"KRT23",-1.27246687814186,"巨噬/髓系",-2.35117213767841e-06,1.55170109514855e-05,45.88,"cell-intrinsic (candidate)"
"FLRT3",2.03415336488358,"Schwann/肿瘤细胞",2.15274020660861,0.000161063318579842,21.18,"both"
"TCEAL2",-1.58358994196068,"周细胞",-3.31974051893759,0.000562465960997721,-23.07,"both"
"TMOD1",-1.31451506776484,"周细胞",-0.782776800946918,0.0318877159781288,-23.07,"both"
"HYCC1",1.19559830448111,NA,NA,NA,NA,"ambiguous/undetermined"
"DCLK1",-1.64511359346646,"成纤维",-2.53751428963151,5.86742337915873e-05,-42.35,"both"
"FAM149A",1.47056155531303,"成纤维",-0.68515356963873,0.0764027676923038,-42.35,"ambiguous/undetermined"
"ARHGAP12",1.1400513844071,"成纤维",-0.258851256513762,0.417774863072288,-42.35,"ambiguous/undetermined"
"PLCB4",-1.20157046489669,"内皮",-1.64814516822743,0.00119620796244342,-16.73,"both"
"NTRK2",1.40443649004318,"周细胞",-2.1498175699744,0.000252692351726389,-23.07,"ambiguous/undetermined"
"TMEM50B",1.04646831742483,"Schwann/肿瘤细胞",1.93122045082764e-06,0.355114993500199,21.18,"composition-consistent"
"PRDM1",1.1871997881357,"巨噬/髓系",-8.0211755627597e-06,0.0680066575374038,45.88,"composition-consistent"
"CFAP20",1.24962730782344,"Schwann/肿瘤细胞",2.73449503813964e-06,0.153628833816936,21.18,"composition-consistent"
"CD74",1.40604326470316,"巨噬/髓系",5.60641291296279e-06,0.0456574346144266,45.88,"both"
"KYAT3",1.03651657175251,"Schwann/肿瘤细胞",-2.60049829497327e-05,0.208640791555892,21.18,"composition-consistent"
