cell_type,GSM973621,GSM973622,GSM973623,GSM973624,GSM973625,GSM973626,GSM973627,GSM973628,GSM973629,GSM973630,GSM973631,GSM973632,GSM973633,GSM973634,GSM973635,GSM973636,GSM973637,GSM973638,GSM973639,GSM973640,GSM973641,GSM973642,GSM973643,GSM973644,GSM973645,GSM973646,GSM973647,GSM973648,GSM973649,GSM973650,GSM973651,GSM973652,GSM973653,GSM973654,GSM973655,GSM973656,GSM973657,GSM973658,GSM973659,GSM973660
Plasmacytoid dendritic cells,0.100144941562239,0.158342959315405,0.0137467248734066,-0.0369587922004089,0.123974057203044,0.0176771654960592,0.0834943438575041,0.108777984817539,-0.150410733985155,0.0951435066641732,0.146663891516732,0.0875212648552168,0.0426160892721121,0.0441390401989095,0.12301729643996,0.0220865773677599,0.0194129595605187,-0.0198451272830776,-0.042351953366484,0.00122132851711705,0.0526575361329585,0.181826071348576,0.00486602232348077,0.112447745231994,0.0196204605488265,0.0507862320335919,0.0606354186775561,0.1225628781873,0.107599150204726,-0.00991675692711222,0.0422314442404776,0.0544118719230846,0.0181291146099031,0.232057815982518,0.0137500630453465,-0.0203473615376162,0.141457539199857,0.0467224983732053,0.0838722932609757,0.0730707655163278
Macrophages,0.430074724046149,0.380035587336013,0.383158626695664,0.404272922809752,0.326816408368589,0.537218335931275,0.456584887655605,0.492356425350415,0.0025821115173924,0.563456163752917,0.581250029359474,0.545089063363648,0.529213228179719,0.554881099813352,0.571510780992522,0.526180884098215,0.508883945024024,0.52729865226385,0.529561525096255,0.536685288201769,0.57836371503914,0.592508334214425,0.522108201870111,0.575523714831895,0.522799177509658,0.565048343424583,0.557628349169215,0.574373323781207,0.590109711843905,0.551166147862206,0.525256092817924,0.558067516441307,0.562029812607546,0.592879669529704,0.547867395427326,0.495789455234657,0.579776309414704,0.582503689267599,0.551588689561013,0.543835656067952
Monocytes,0.493364244596291,0.525149592172892,0.48035736403134,0.491483197568151,0.44353825934059,0.492260345422618,0.475797479905978,0.437076597171832,-0.0367839692565395,0.44478582100056,0.435297799875973,0.370108557672623,0.440570240660183,0.302293391938262,0.341301790194117,0.382684267843432,0.32523122199053,0.28195671536955,0.355972165100548,0.369664509268663,0.434775240323656,0.46663085746,0.386349523271341,0.400289704971588,0.337136969190303,0.338538947161363,0.485383235277176,0.472851554400604,0.439276500632607,0.374950571055785,0.514773711370208,0.362010840343863,0.362754907769205,0.493411310562553,0.37577074773277,0.35425440218462,0.384917471212219,0.486935956370249,0.384265362518993,0.385714851416318
MDSC,0.339746839180049,0.327832491480164,0.255153491904429,0.258717780395631,0.268559863315744,0.291834512518586,0.283947573556621,0.259253112504305,-0.168668275037548,0.228075095781813,0.26641685357608,0.145909047763188,0.220930265045056,0.115287762918982,0.194013052954426,0.159992338363951,0.159759741135477,0.0892061676785067,0.181879835690392,0.169517070428444,0.237223943944534,0.314884872167572,0.172323757607846,0.232573266388929,0.137128246141388,0.162815714298294,0.238581146331461,0.280576366774984,0.280648303265147,0.214941231268243,0.277839824402505,0.188102759714219,0.21658477693511,0.322680802157699,0.158872799352356,0.159564275903923,0.202416242253566,0.319564409895174,0.194743294098866,0.230018801176301
Neutrophils,0.35673337148634,0.392183336250955,0.278079856156518,0.333829474233642,0.332239487239529,0.346399611609483,0.202979440897729,0.168261388329198,-0.306679600490074,0.135982018748991,0.164672809494477,0.0152182816476089,0.111085761592683,0.0422645275717867,0.117907320379237,0.0700727381227981,0.0449632880163614,-0.0535335648034967,0.122325831558246,0.11507948006613,0.164710494540081,0.246860112866524,0.0844617358437701,0.143385090676704,0.0447673372203453,0.0794502614594563,0.203691960988702,0.234262291954898,0.175987260318485,0.127409349117316,0.182070550971006,0.122660702709383,0.132256779622803,0.239502642240649,0.0910368866260334,0.0529204692539631,0.137212649279106,0.242183312246775,0.122865734927146,0.142211981259761
Eosinophils,-0.0669662645531009,-0.159617446873035,-0.241809342941448,-0.256004996569964,0.0285117398465247,-0.297037573810239,-0.257540613395743,-0.30991720381172,-0.229200484617996,-0.202927756409405,-0.112026279116611,-0.178831215413591,-0.200685499713392,-0.138035832386715,-0.158614608438597,-0.292815399521935,-0.255682718915653,-0.280857562646428,-0.216995529076057,-0.28628527786653,-0.167953773298621,-0.0737737016835105,-0.290408114050606,-0.145644768346893,-0.276659478073436,-0.152883552324959,-0.227482396933318,-0.20343003869549,-0.147153060069805,-0.245652859677733,-0.226551091747866,-0.124514393932898,-0.19339522891266,-0.121547790863559,-0.237729711823459,-0.226011403567669,-0.125813023223093,-0.0498052025754079,-0.178620057082841,-0.182549104362411
Mast cells,-0.190611207416985,-0.257182119618224,-0.141901923385446,-0.150739241814328,-0.180810795068141,-0.301336389737045,-0.138431989485681,-0.159009466988576,-0.338170258444237,-0.201865716840219,-0.230593330374608,-0.199537696582028,-0.205859374500024,-0.209080636839656,-0.179189209221189,-0.178605816417899,-0.175739225284016,-0.175397115925121,-0.254889578582194,-0.210390392556625,-0.163235729153276,-0.122338583667693,-0.15602712136269,-0.177832531413534,-0.176826465750165,-0.154237648296031,-0.223444778395313,-0.20529802559457,-0.15561812741684,-0.270945760446378,-0.12747762945927,-0.109034557729108,-0.170252494832511,-0.153181716611533,-0.258676898399526,-0.182236869791209,-0.176284543273271,-0.176498557704745,-0.14248924273414,-0.140943150704049
Basophils,-0.205563657298567,-0.339826487170225,-0.235276904438351,-0.267649017216529,-0.225661599767392,-0.377958892864145,-0.280056611885262,-0.226169233496219,-0.340335478625374,-0.327430938582486,-0.327843690502143,-0.352085085474327,-0.365638110352467,-0.349799267504886,-0.344077214438489,-0.289242545033699,-0.319132478067025,-0.321492222569406,-0.361226215416283,-0.293697894960386,-0.326850932386527,-0.333176008681572,-0.282499476924892,-0.407120330470297,-0.296299956808197,-0.324873586314891,-0.345276567064029,-0.332481357520988,-0.315594949279979,-0.364890906620864,-0.278291511659754,-0.295984496190247,-0.346792914916913,-0.33449807925811,-0.332112010799551,-0.300449561153827,-0.34455121500794,-0.328313256789394,-0.348783147758151,-0.301075410956071
Fibroblasts,0.385851055589737,0.297273313614287,0.456810081308294,0.439012398762803,0.393369186497137,0.0332192341861269,0.499690435277639,0.536857281122549,0.416274359946069,0.306807493563675,0.214135412577619,0.407729486353042,0.323479218893449,0.193090065315393,0.191362341132666,0.436976486445843,0.253014601733945,0.358969831503713,0.262492994597149,0.353804970707932,0.402137398747076,0.360996185433763,0.33087204929873,0.383921968296508,0.277930327427904,0.314881792868332,0.371649001133042,0.310740924568453,0.336876309376015,0.16246393871206,0.41642713369289,0.268444472662671,0.208623251832982,0.269516875795392,0.176725384323922,0.342815977008943,0.311160408411353,0.379896455076558,0.398677824266569,0.188524385589045
Endothelial cells,0.308059503808854,0.25959528111176,0.428204993058585,0.330753307745928,0.267482408852656,0.220400240294329,0.434165719263527,0.367361243327199,-0.102022423653619,0.147319654105404,0.141708832146082,0.12362812988799,0.160910145925455,0.105178272727164,0.122829757061534,0.2455697020477,0.108416860891774,0.0567392143097335,0.032478731830273,0.158435716718639,0.307080085262696,0.180855281608143,0.197868949795096,0.173487932339768,0.161661020842824,0.140524953840224,0.254288369363964,0.225002709901293,0.248850170286772,0.0690964033505707,0.212551548641396,0.19549460231305,0.142732146010614,0.257448084315266,0.106335139355066,0.146545876902111,0.117847976572413,0.240501728901114,0.158018675780705,0.193792920457886
