gene,module,direction,kME,GS,logFC,adj.P.Val,is_hub
MORC3,turquoise,up,0.922083391133731,0.701032870625421,0.902229041488051,5.30669718097701e-06,FALSE
VPS13D,turquoise,up,0.921732004932314,0.600112748646113,0.734879809717041,0.000200185547340931,FALSE
ZNF615,turquoise,up,0.921731234480873,0.673347259382966,0.921918279400928,1.46165386986863e-05,FALSE
EXOC2,turquoise,up,0.921653950423688,0.6062485758815,0.697219327590596,0.000161287586485979,FALSE
MBOAT2,turquoise,up,0.921593415518497,0.650004447821072,1.13220362338242,3.23377813281729e-05,TRUE
HCFC2,turquoise,up,0.921566520075843,0.76081217564857,1.29480528640324,2.42383852542092e-07,TRUE
SENP2,turquoise,up,0.921128057266088,0.586454505183592,0.793268337789518,0.000272949545236384,FALSE
MID1IP1,turquoise,up,0.921033057914302,0.633145347412162,0.829108718226678,7.34442054357956e-05,FALSE
ANGEL2,turquoise,up,0.920896427158671,0.621674268236527,0.782889470619894,9.31431176129554e-05,FALSE
DOCK7,turquoise,up,0.920333734260368,0.606317944245249,0.9161299391835,0.000147341297919566,FALSE
XPC,turquoise,up,0.920202755111242,0.815135698551418,0.964742386879726,1.60358898638304e-08,FALSE
FAN1,turquoise,up,0.920174210664258,0.603111763381196,0.687694709219739,0.000175107551478247,FALSE
ZDHHC21,turquoise,up,0.920094487717395,0.597203155967426,0.818993428240555,0.000193168419799518,FALSE
ABCF3,turquoise,up,0.919852543453123,0.681156271235138,0.82558797061604,1.38415892469163e-05,FALSE
LRBA,turquoise,up,0.919733203528161,0.621284060882645,0.890020784592138,8.95455475658534e-05,FALSE
ERLIN2,turquoise,up,0.919718457271621,0.796831315052814,0.92754101948651,4.76980575897374e-08,FALSE
ORC3,turquoise,up,0.919583084395541,0.71530170282002,1.13824167498535,2.43272717058154e-06,TRUE
GALK2,turquoise,up,0.918747933969765,0.755184890499134,0.949406719888205,3.97180825523984e-07,FALSE
MAP4K5,turquoise,up,0.918587551594847,0.711010937379196,1.14777311810409,3.12203427340614e-06,TRUE
MAP4K3,turquoise,up,0.918584064079804,0.724921621684285,1.42136415534156,1.35622072719066e-06,TRUE
TGDS,turquoise,up,0.918560679077597,0.628528772718857,0.737359133445644,7.9503695026289e-05,FALSE
TCEAL1,turquoise,up,0.91840914877593,0.800409515791124,1.11575581138165,2.89257428638723e-08,TRUE
METTL16,turquoise,up,0.918230529861408,0.552442195898646,0.535455417986895,0.000772818889290985,FALSE
TMEM106B,turquoise,up,0.91785702033168,0.540344154861799,0.772019764599846,0.000862723695766973,FALSE
GIN1,turquoise,up,0.917698985540301,0.671286554202293,0.698287247131844,2.09912349565891e-05,FALSE
PIP4K2C,turquoise,up,0.917589876310342,0.786731448918521,0.7906099523724,1.00436775570039e-07,FALSE
HACE1,turquoise,up,0.917048977098193,0.578733614851101,0.593020166747881,0.000369986366360514,FALSE
MTX3,turquoise,up,0.917041731717746,0.615578905639914,0.70564183334233,0.000130986236758972,FALSE
IKZF5,turquoise,up,0.917021022988628,0.711099635596713,0.986271515056284,3.2978660850432e-06,FALSE
RABEP1,turquoise,up,0.916850442647725,0.7578767439398,1.17767339058597,3.03567284805845e-07,TRUE
ZFTRAF1,turquoise,up,0.91683427750885,0.619163480976479,0.815921934390135,0.000104950912751497,FALSE
SLC30A6,turquoise,up,0.916608162743495,0.634090115976656,0.894883759705478,6.20550903695817e-05,FALSE
SMG8,turquoise,up,0.916534336918557,0.670560452971246,0.718526990362377,2.09667081657089e-05,FALSE
DYNC1H1,turquoise,up,0.916397256762468,0.579566725794092,0.727185512995376,0.00035732997916943,FALSE
C6orf120,turquoise,up,0.916377778564017,0.58268855825187,0.630694129451811,0.000337522346720847,FALSE
MDM4,turquoise,up,0.916251367609314,0.530720814621142,0.750566498222053,0.00111937371803589,FALSE
TBK1,turquoise,up,0.916141434035071,0.675483332563786,0.797687878676178,1.5394666227111e-05,FALSE
WDR47,turquoise,up,0.916035083249447,0.719544191043282,1.31297143584734,1.77615496989377e-06,TRUE
SGMS1,turquoise,up,0.915436428136359,0.781174165393394,1.28117446221049,7.39501742654336e-08,TRUE
ANAPC4,turquoise,up,0.915377409659651,0.636475975775433,0.685087549286045,6.45583167752546e-05,FALSE
