gene,module,direction,discovery_logFC,validation_logFC,direction_concordant
HTT,turquoise,up,1.2664252818643,1.16481434259259,TRUE
HYCC1,turquoise,up,1.19559830448111,0.329531185185187,TRUE
IFIT5,turquoise,up,1.08251595232845,0.46489012037037,TRUE
IFNAR1,turquoise,up,1.31066830012182,0.442007592592596,TRUE
INF2,turquoise,up,1.06680975161913,0.371541398148148,TRUE
INMT,yellow,down,-1.0382181031542,-1.41183452777778,TRUE
INTS10,turquoise,up,1.35256790537163,0.331910592592591,TRUE
IPO8,turquoise,up,1.11707972051735,0.370280157407407,TRUE
ITGB4,turquoise,up,1.85600807749962,1.01323437037037,TRUE
ITPK1,turquoise,up,1.4760408839468,1.63069925,TRUE
JAKMIP2,turquoise,up,2.31392950279414,2.7009737037037,TRUE
KAT2B,turquoise,up,1.4459923175798,0.8270062037037,TRUE
KATNAL1,turquoise,up,1.04260850784657,0.679092925925927,TRUE
KCTD3,turquoise,up,1.28057931532691,-0.00300344444444178,FALSE
KDM3A,turquoise,up,1.23064464492444,0.158902833333331,TRUE
KGD4,turquoise,up,1.25448414527448,0.590509333333334,TRUE
KIF13B,turquoise,up,1.12515655257672,-1.12345246296296,FALSE
KIF16B,turquoise,up,1.44174218569314,0.661061046296297,TRUE
KIF1A,turquoise,up,1.98961629397996,0.986698342592595,TRUE
KIF21A,turquoise,up,1.29780214132228,0.56761014814815,TRUE
KIFBP,turquoise,up,1.00122977351735,0.113383657407406,TRUE
KLF5,yellow,down,-1.0305800176384,-4.23481344444444,TRUE
KLHL5,turquoise,up,1.34912978579491,1.12670875925926,TRUE
KYAT3,turquoise,up,1.03651657175251,0.831801333333333,TRUE
LGALS3BP,turquoise,up,1.70577841284118,1.97741875925926,TRUE
LGI4,turquoise,up,2.63774359106014,1.96422043518518,TRUE
LMBRD2,turquoise,up,1.27271970600771,0.0471227870370381,TRUE
LOC653653,turquoise,up,2.51315545809792,1.40800423148148,TRUE
LRRC32,yellow,down,-1.35338241035852,-1.49864916666667,TRUE
LRRCC1,turquoise,up,1.23376672194141,0.141112472222222,TRUE
